FSR_0,FSR_1,FSR_2,FSR_3,FSR_4,FSR_5,FSR_6,FSR_7,Swing time(s),Stride time(s),Swing percentage(%),Stride percentage(%),averageXAngleChange,뇌졸증 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.93,4083.49,3257.33,1890.43,0,0,0,0,2045,1032,66.46,33.54,-6.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,167.81,0,526.39,0,2408.21,1904.77,169.52,2045,1022,66.68,33.32,-40.89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794.61,2798.35,1659.5,2603.28,417.39,0,0,0,1036,1022,50.34,49.66,50.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167.53,3722.04,2742.41,3059.39,0,0,0,0,1036,1022,50.34,49.66,2.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,446.07,0,1739.82,854.85,0,1036,2061,33.45,66.55,-4.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381.24,3902.77,2482.8,2314.98,0,0,0,0,1030,2061,33.32,66.68,1.98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926.57,3030.71,2336.5,2494.27,0,0,0,0,1030,2061,33.32,66.68,-2.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,174.99,0,453.24,0,1052.79,840.51,216.85,1030,2065,33.28,66.72,0.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371.49,966.73,431.73,2309.25,1612.17,3944.36,3432.31,0,1019,2065,33.04,66.96,1.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579.18,3674.71,2639.14,2260.48,0,0,0,0,1019,2065,33.04,66.96,3.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,499.14,0,2085.49,1627.95,198.21,1019,2055,33.15,66.85,14.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,282.56,0,1464.43,709.99,3967.31,3491.12,0,1019,2055,33.15,66.85,-12.49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973.62,4013.21,2887.27,2683.6,0,0,0,0,2051,2055,49.95,50.05,0.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,157.77,0,424.56,0,1828.75,1045.61,195.34,2051,1040,66.35,33.65,13.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655.48,3281.71,1662.37,3673.28,1018.36,0,0,0,1033,1040,49.83,50.17,-12.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590.65,3535.58,2633.4,2197.37,0,0,0,0,1033,1040,49.83,50.17,11.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,456.11,0,1105.86,1032.71,193.9,1033,2077,33.22,66.78,-16.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,394.44,0,1323.87,608.15,3052.22,2185.89,0,1033,2077,33.22,66.78,1.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821.58,4142.3,2941.78,2784,0,0,0,0,2058,2077,49.77,50.23,31.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,338.5,0,1738.39,820.43,0,2058,1034,66.56,33.44,-30.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488.82,3789.46,3290.32,1559.1,0,0,0,0,1028,2053,33.37,66.63,1.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,424.56,0,1296.62,480.5,2178.72,1300.92,0,1028,1018,50.24,49.76,13.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,0,0,294.03,0,1435.75,784.57,0,1028,1018,50.24,49.76,-15.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706.83,2752.45,2703.68,1104.42,0,0,0,0,2054,1018,66.86,33.14,1.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433.16,0,1051.35,533.56,2804.08,1473.04,0,1027,1040,49.69,50.31,-0.42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,167.81,0,319.85,0,1564.84,1201.95,0,1027,1040,49.69,50.31,3.94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880.39,3677.58,3062.26,1500.29,0,0,0,0,2047,1040,66.31,33.69,-15.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,453.24,0,2160.08,1669.54,203.95,2047,1032,66.48,33.52,30.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
